x,y,z,a,b,peak
0,0,0,0.0374785,-4.16675,20.6785
0,0,1,0.0376607,-4.62775,20.7012
0,1,0,0.0362819,-4.03372,20.672
0,1,1,0.0369216,-4.10484,20.8107
0,2,0,0.0393208,-3.91141,20.5321
0,2,1,0.0389821,-4.79012,20.5665
0,3,0,0.039539,-5.32127,20.5423
0,3,1,0.0374792,-4.16683,20.6695
0,4,0,0.0393488,-5.75617,20.563
0,4,1,0.039025,-4.79539,20.5929
0,5,0,0.0420048,-3.19524,20.644
0,5,1,0.0394806,-4.38934,20.6031
0,6,0,0.0397604,-3.95514,20.574
0,6,1,0.0411444,-4.57432,20.4561
0,7,0,0.0431033,-3.78324,20.6013
0,7,1,0.0398427,-4.4296,20.5713
0,8,0,0.0380663,-3.78662,20.6524
0,8,1,0.0386294,-4.74678,20.592
0,9,0,0.0393373,-5.75448,20.6168
0,9,1,0.0463572,-5.69638,20.6198
0,10,0,0.0413741,-4.11566,20.5429
0,10,1,0.0385075,-5.18245,20.5807
0,11,0,0.0381972,-3.79964,20.5569
0,11,1,0.0369738,-4.11064,20.6809
0,12,0,0.0363602,-4.46794,20.5204
0,12,1,0.0393412,-4.37384,20.5088
0,13,0,0.0413552,-4.59776,20.6062
0,13,1,0.039163,-3.89571,20.5457
0,14,0,0.0518509,-5.76464,20.5051
0,14,1,0.0533815,-5.31009,20.5036
0,15,0,0.0387099,-5.20969,20.5185
0,15,1,0.0381376,-4.68635,20.4753
1,0,0,0.0401279,-5.40053,20.649
1,0,1,0.0387343,-4.30637,20.5467
1,1,0,0.0377827,-3.7584,20.6415
1,1,1,0.0378114,-4.64627,20.6262
1,2,0,0.0383481,-3.36587,20.6633
1,2,1,0.0275549,-3.38595,20.7917
1,3,0,0.0394319,-5.30686,20.5353
1,3,1,0.0387227,-5.66458,20.9169
1,4,0,0.0403737,-4.96112,20.505
1,4,1,0.0435766,-4.84472,20.522
1,5,0,0.0378063,-4.20319,20.5492
1,5,1,0.0405967,-4.98852,20.4683
1,6,0,0.0383549,-4.71305,20.556
1,6,1,0.0397024,-3.48474,20.5918
1,7,0,0.0387333,-5.21283,20.7401
1,7,1,0.0405568,-5.93288,20.619
1,8,0,0.037204,-5.87781,20.5785
1,8,1,0.0406512,-6.42243,20.6836
1,9,0,0.0391039,-4.80509,20.6224
1,9,1,0.0374602,-5.0415,20.5361
1,10,0,0.0426373,-4.24132,20.5539
1,10,1,0.0411506,-6.01974,20.5164
1,11,0,0.0380415,-4.67454,20.6679
1,11,1,0.0397934,-6.2869,20.626
1,12,0,0.0387998,-6.12992,20.5489
1,12,1,0.0385346,-6.08802,20.4939
1,13,0,0.0331391,-5.2356,20.668
1,13,1,0.0406988,-4.52477,20.6755
1,14,0,0.0447327,-3.92626,20.5069
1,14,1,0.0443322,-5.96635,20.4906
1,15,0,0.0363741,-4.04397,20.5533
1,15,1,0.0601651,-10.2095,20.4946
2,0,0,0.0378834,-4.65511,20.608
2,0,1,0.0365688,-4.92153,20.5826
2,1,0,0.037089,-5.85963,20.5602
2,1,1,0.0394896,-4.39035,20.544
2,2,0,0.0426491,-4.24248,20.6005
2,2,1,0.0402772,-9.19148,20.6871
2,3,0,0.0383347,-5.15919,20.4999
2,3,1,0.0393327,-4.37289,20.5825
2,4,0,0.0357587,-4.39403,20.5861
2,4,1,0.0524448,-7.05817,20.5281
2,5,0,0.0383889,-2.02167,20.5092
2,5,1,0.044871,-5.51374,20.5031
2,6,0,0.0388229,-5.2249,20.5414
2,6,1,0.0426314,-5.73746,20.5328
2,7,0,0.0367735,-4.94909,20.5814
2,7,1,0.0393034,-5.28957,20.6468
2,8,0,0.0382067,-4.24771,20.6434
2,8,1,0.0451035,-5.01448,20.5752
2,9,0,0.0428956,-5.77302,20.5519
2,9,1,0.0411646,-4.09482,20.4839
2,10,0,0.0415531,-8.99636,20.6051
2,10,1,0.0435337,-5.34942,20.5539
2,11,0,0.0421904,-5.18435,20.577
2,11,1,0.0428202,-5.26175,20.5365
2,12,0,0.0379383,-5.99381,20.4546
2,12,1,0.0411715,-5.05915,20.5228
2,13,0,0.0373145,-5.89526,20.623
2,13,1,0.0423746,-5.70289,20.4897
2,14,0,0.0359852,-4.00073,20.6312
2,14,1,0.0447958,-6.02875,20.5062
2,15,0,0.0282303,-3.46894,20.7453
2,15,1,0.036806,-4.52272,20.6037
3,0,0,0.0363676,-4.46885,20.587
3,0,1,0.0380912,-6.46376,20.6555
3,1,0,0.039228,-5.27942,20.6577
3,1,1,0.0384845,-3.82822,20.4904
3,2,0,0.0389604,-2.50772,20.5458
3,2,1,0.0403271,-5.42733,20.6111
3,3,0,0.0399871,-3.97769,20.5384
3,3,1,0.0388569,-3.86527,20.6405
3,4,0,0.0386406,-5.20036,20.6577
3,4,1,0.0379767,-0.222218,20.6594
3,5,0,0.0390819,-3.88765,20.6443
3,5,1,0.0416005,-5.11187,20.6318
3,6,0,0.0392841,-3.90776,20.6027
3,6,1,0.0410739,-5.52784,20.5475
3,7,0,0.0376982,-3.75,20.5501
3,7,1,0.0400865,-4.92583,20.5272
3,8,0,0.0408283,-5.49479,20.5843
3,8,1,0.03976,-3.48979,20.6076
3,9,0,0.0392633,-4.82467,20.6356
3,9,1,0.0421844,-5.18361,20.5106
3,10,0,0.0368861,-4.10089,20.6528
3,10,1,0.0446639,-6.011,20.514
3,11,0,0.0380552,-5.56693,20.565
3,11,1,0.0407152,-5.47957,20.6691
3,12,0,0.0391036,-6.63554,20.6314
3,12,1,0.0407337,-3.57526,20.6549
3,13,0,0.0368328,-5.38811,20.6184
3,13,1,0.0388841,-3.86797,20.5886
3,14,0,0.0314839,-3.50029,20.7766
3,14,1,0.0376259,-4.62347,20.6224
3,15,0,0.0340376,-4.97922,20.563
3,15,1,0.0348334,-4.28033,20.5242
4,0,0,0.0345096,-3.83668,20.595
4,0,1,0.0360403,-4.85041,20.5541
4,1,0,0.0378857,-4.21203,20.6471
4,1,1,0.0376547,-4.62701,20.6262
4,2,0,0.0370279,-4.54998,20.5814
4,2,1,0.0417213,-3.17368,20.6049
4,3,0,0.0383385,-5.60837,20.5908
4,3,1,0.0371143,-4.12627,20.615
4,4,0,0.0420502,-3.69081,21.2684
4,4,1,0.0422805,-7.17463,20.5524
4,5,0,0.0387012,-5.66143,20.6429
4,5,1,0.0403574,-3.54223,20.5844
4,6,0,0.0408874,-5.02425,20.727
4,6,1,0.0423909,-3.72071,20.5662
4,7,0,0.0389142,-4.78178,20.6421
4,7,1,0.0420614,-4.67627,20.5825
4,8,0,0.0433945,-5.33231,20.5489
4,8,1,0.0387451,-3.40071,20.5838
4,9,0,0.0381295,-3.7929,20.6114
4,9,1,0.0396472,-3.94387,20.5152
4,10,0,0.0376968,-4.63218,20.5241
4,10,1,0.0481103,-6.47482,20.5513
4,11,0,0.0411209,-5.53417,20.5524
4,11,1,0.0395733,-5.78901,20.5751
