x,y,amplitude,slope,intercept,meanY,fitMin,fitMax
0,0,284.778,0.00294278,3.6745,288.334,0.6,15.5
0,1,284.892,0.00343877,3.98631,288.818,0.6,15.5
0,2,285.198,0.00471173,4.12308,289.109,0.6,15.5
0,3,284.715,0.00659897,3.73304,287.889,0.6,15.5
0,4,286.222,0.00843554,4.67734,290.424,0.6,15.5
0,5,286.072,0.00651001,4.70267,290.403,0.6,15.5
0,6,0.0,0.0,0.0,0.0,-99.1,-99.0
0,7,286.435,0.0049456,5.04718,291.099,0.6,15.5
0,8,286.939,0.00696491,5.40416,291.857,0.67,15.5
0,9,286.95,0.00691998,5.56234,292.091,0.7,15.5
0,10,288.356,0.00923538,6.41219,294.277,0.7,15.5
0,11,287.804,0.0100902,6.10669,293.322,0.7,15.5
0,12,288.309,0.0109432,6.30432,293.862,0.7,15.5
0,13,289.25,0.00983079,6.93085,295.592,0.7,15.5
0,14,0.0,0.0,0.0,0.0,-99.1,-99.0
0,15,0.0,0.0,0.0,0.0,-99.1,-99.0
1,0,285.827,0.00951015,4.163,289.491,0.6,15.5
1,1,286.702,0.00811244,3.32099,289.571,0.6,15.5
1,2,0.0,0.0,0.0,0.0,-99.1,-99.0
1,3,285.868,0.00604304,4.21784,289.7,0.6,15.5
1,4,287.294,0.00557993,2.53582,289.694,0.5,15.5
1,5,286.503,0.00579003,4.86364,291.125,0.5,15.5
1,6,286.864,0.00557027,4.7035,291.195,0.6,15.5
1,7,287.124,0.00777124,5.61158,292.298,0.6,15.5
1,8,288.156,0.00791633,6.41778,294.161,0.8,15.5
1,9,287.627,0.00691332,5.81438,293.066,0.6,15.5
1,10,287.421,0.00990943,5.88358,292.731,0.6,15.5
1,11,288.089,0.0081478,5.87359,293.51,0.5,15.5
1,12,289.772,0.0093666,6.79793,295.805,0.5,15.5
1,13,289.614,0.00929688,7.08699,296.039,0.5,15.5
1,14,284.109,0.0117233,2.88814,286.747,1.1,15.5
1,15,285.951,0.00947589,4.17374,289.763,1.0,15.5
2,0,282.739,0.00453693,2.4714,284.927,0.7,15.5
2,1,0.0,0.0,0.0,0.0,-99.1,-99.0
2,2,282.582,0.00588286,2.66283,284.967,0.7,15.5
2,3,283.221,0.0070296,3.13477,285.994,0.7,15.5
2,4,0.0,0.0,0.0,0.0,-99.1,-99.0
2,5,284.01,0.0072958,3.04973,286.703,0.7,15.5
2,6,283.892,0.00469193,3.43771,287.133,0.7,15.5
2,7,284.046,0.00503641,3.49192,287.29,0.7,15.5
2,8,285.391,0.00895562,4.38083,289.242,0.7,15.5
2,9,286.419,0.00298889,1.99152,288.226,0.3,15.5
2,10,284.978,0.00929557,4.02241,288.493,0.7,15.5
2,11,285.574,0.00990218,4.42638,289.469,0.7,15.5
2,12,286.518,0.00693332,5.15561,291.201,0.5,15.5
2,13,286.001,0.00933016,4.62966,290.102,0.8,15.5
2,14,281.762,0.00920759,0.96031,282.484,1,15.5
2,15,282.501,0.00716364,1.59605,283.809,1.0,15.5
3,0,0.0,0.0,0.0,0.0,-99.1,-99.0
3,1,0.0,0.0,0.0,0.0,-99.1,-99.0
3,2,289.952,0.00428273,-3.15215,286.173,0.3,15.5
3,3,284.116,0.0067699,3.30518,286.987,0.6,15.5
