x,y,a,b,xL,xR
0,0,8.39606,-8.23037,-100.125,100.068
0,1,8.33657,2.36017,-99.9569,100.192
0,2,8.18494,-10.4595,-99.9462,100.195
0,3,8.19459,-4.95382,-100.282,99.8555
0,4,8.29574,4.59618,-100.066,100.017
0,5,8.18149,-5.43809,-99.9058,100.287
0,6,8.151,17.0746,-94.6715,99.6436
0,7,8.1927,-11.1276,-100.035,99.7967
0,8,8.16052,-12.5574,-100.171,99.9513
0,9,8.11614,5.86645,-100.198,99.9674
0,10,8.13744,-0.759693,-99.8854,100.247
0,11,8.22752,-8.00839,-99.9404,99.9977
0,12,8.20347,-8.57327,-99.8285,100.064
0,13,8.23503,-1.51591,-99.7889,100.042
0,14,8.45188,6.5126,-100.634,99.8305
0,15,8.39045,-21.1578,-100.319,99.7601
1,0,8.37054,-4.38646,-100.221,99.4286
1,1,8.36613,-2.81334,-100.077,99.4801
1,2,10.9769,39.4831,-100.179,99.8363
1,3,8.14356,-12.9142,-100.041,100.255
1,4,8.1296,2.17318,-99.8745,100.063
1,5,8.08211,2.25566,-99.9425,99.8268
1,6,8.09403,-9.5949,-100.204,100.279
1,7,8.07944,-1.06557,-100.024,99.8265
1,8,8.0678,-6.0151,-100.182,100.072
1,9,8.0525,3.05318,-100.052,99.9352
1,10,8.05161,-13.4795,-100.054,100.007
1,11,8.20671,-8.47362,-103.026,100.072
1,12,8.12942,-2.17963,-99.9039,99.7047
1,13,8.157,-1.57928,-99.8784,100.294
1,14,8.15628,-11.0256,-100.064,99.9124
1,15,8.24259,-12.6407,-100.141,99.9322
2,0,8.31651,21.7413,-100.112,99.848
2,1,8.2008,26.0009,-100.18,99.879
2,2,8.056,8.57695,-100.02,99.9615
2,3,8.07184,26.6493,-100.191,99.9892
2,4,8.78604,39.7984,-99.9189,96.2118
2,5,8.03528,34.1075,-100.243,100.035
2,6,8.00499,26.1544,-100.072,100.011
2,7,8.04678,29.9891,-99.9324,100.127
2,8,8.01259,25.4318,-99.8109,100.159
2,9,8.01952,19.6444,-99.8187,100.292
2,10,8.01634,26.7028,-99.7831,99.8137
2,11,8.01764,11.5997,-99.914,100.155
2,12,8.0427,16.1982,-99.9372,100.084
2,13,8.06706,15.6711,-100.039,100.31
2,14,7.99235,55.6713,-99.9691,100.123
2,15,8.11475,15.8856,-99.9601,100.085
3,0,18.0649,47.6509,-98.4203,71.5642
3,1,7.67592,-2.72952,-99.4207,100.294
3,2,8.3001,-23.3975,-100.203,100.08
3,3,8.13091,-1.03442,-99.9276,99.9619
3,4,8.10479,-19.853,-99.7618,99.8038
3,5,8.12598,-10.5159,-99.9959,99.7912
3,6,8.06276,-5.41534,-100.007,99.9366
3,7,8.05838,-8.02488,-100.101,100.074
3,8,8.12555,0.531306,-100.191,100.245
3,9,8.08975,-7.37709,-100.085,100.169
3,10,8.13731,3.84156,-100.347,99.8703
3,11,8.16078,-1.96546,-100.035,100.132
3,12,8.10599,-5.54458,-100.45,99.8528
3,13,8.16235,-13.7841,-100.31,100.153
