x,y,offset
0,0,-1.34211
0,1,-0.978877
0,2,-1.05018
0,3,-2.56259
0,4,-0.391269
0,5,-0.552318
0,6,-3.48058
0,7,-0.37411
0,8,0.0
0,9,-0.0399221
0,10,1.66613
0,11,0.139422
0,12,0.199814
0,13,1.13591
0,14,-7.0218
0,15,-6.51188
1,0,-1.70616
1,1,-1.62934
1,2,-1.57331
1,3,-2.0698
1,4,-2.48029
1,5,-1.25885
1,6,-1.39986
1,7,-0.752657
1,8,0.0
1,9,-0.629455
1,10,-1.23152
1,11,-1.0294
1,12,0.726497
1,13,0.0300187
1,14,-9.95243
1,15,-7.61544
2,0,-1.92277
2,1,-2.03055
2,2,-2.45947
2,3,-1.84079
2,4,-4.17176
2,5,-1.7033
2,6,-1.49376
2,7,-1.83338
2,8,0.0
2,9,-1.5133
2,10,-1.59228
2,11,-1.24296
2,12,-0.0216072
2,13,-1.90343
2,14,-10.2855
2,15,-9.47636
3,0,-2.01274
3,1,-2.45459
3,2,-2.43173
3,3,-2.42427
3,4,-1.12872
3,5,0.0354589
3,6,-1.67395
3,7,0.141475
3,8,0.0
3,9,-0.850027
3,10,-1.5045
3,11,-0.84941
3,12,-0.414118
3,13,-0.255101
3,14,-10.2265
3,15,-10.5211
4,0,-0.0232505
4,1,-0.964655
4,2,-1.36084
4,3,-1.47597
4,4,-1.30896
4,5,-0.574711
4,6,-0.897902
4,7,-1.01687
4,8,0.0
4,9,-0.0121396
4,10,-1.36615
4,11,-0.833068
4,12,0.338271
4,13,-0.705336
4,14,-10.3168
4,15,-7.37567
5,0,0.522565
5,1,-0.715162
5,2,-0.158751
5,3,-0.458886
5,4,0.698639
5,5,-0.275961
5,6,0.604402
5,7,-0.467946
5,8,0.0
5,9,0.103136
5,10,0.761387
5,11,-0.013656
5,12,-0.733461
5,13,0.0467132
5,14,-9.54587
5,15,-7.81347
6,0,-1.19522
6,1,-1.98501
6,2,-1.0271
6,3,-0.48861
6,4,-0.821708
6,5,-1.67847
6,6,-0.412135
6,7,-0.189274
6,8,0.0
6,9,-0.560986
6,10,0.764652
6,11,0.190794
6,12,0.321876
6,13,-1.51097
6,14,-10.266
6,15,-7.21502
7,0,-1.58498
7,1,-0.422383
7,2,-0.967103
7,3,-1.3791
7,4,-0.132844
7,5,0.58596
7,6,-1.02176
7,7,-0.22689
7,8,0.0
7,9,-0.916818
7,10,-0.39015
7,11,-0.438332
7,12,-1.67812
7,13,-0.136329
7,14,-8.36695
7,15,-9.28381
8,0,-0.900414
8,1,-0.937629
8,2,-1.38024
8,3,-2.20495
8,4,-0.140615
8,5,-1.14091
8,6,-0.580489
8,7,-0.71122
8,8,0.61675
8,9,0.0
8,10,0.385643
8,11,1.20235
8,12,1.46824
8,13,0.159639
8,14,-9.62989
8,15,-7.5226
